"(['Global_active_power', 'Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3'], [None, '[]', '>=', '<=', None, '<=', '[]'], [None, (-0.9639385317951938, 0.9639385317951938), 205.51726545891665, 16.512680587679185, None, 23.231862285602354, (8.933146308839754, 27.066853691160247)])",642755
"(['Global_active_power', 'Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3'], ['<=', None, '>=', '<=', '<=', None, '<='], [1.9792285302356636, None, 197.35707467434796, 21.759715510264336, 15.280663908885803, None, 5.182406122418531])",1257022
"(['Global_active_power', 'Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3'], ['[]', '[]', '>=', '<=', None, None, None], [(1.8447339387431771, 2.895266061256823), (-0.557742205529383, 0.737742205529383), 117.80762056538798, 33.431041386466305, None, None, None])",215198
"(['Global_active_power', 'Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3'], ['<=', None, '>=', None, None, None, None], [7.434191983075284, None, 142.5765584206281, None, None, None, None])",2048279
"(['Global_active_power', 'Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3'], [None, None, '>=', None, '<=', None, '<='], [None, None, 174.1687027045695, None, 39.92839075261593, None, 15.83258905353065])",1375736
"(['Global_active_power', 'Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3'], ['<=', '[]', '[]', '[]', '<=', '<=', '[]'], [2.102430469278052, (0.11037528076383946, 0.34562471923616056), (238.4708418099421, 250.0291581900579), (-0.8913515199707123, 4.491351519970713), 4.910854769665628, 11.826825703680207, (-0.6147777862551667, 2.614777786255167)])",406045
"(['Global_active_power', 'Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3'], [None, None, '[]', '[]', None, None, None], [None, None, (237.1316212363475, 245.3483787636525), (6.320299319625839, 10.07970068037416), None, None, None])",251639
"(['Global_active_power', 'Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3'], [None, None, '>=', None, None, None, None], [None, None, 166.4332573390511, None, None, None, None])",2049280
"(['Global_active_power', 'Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3'], ['[]', '[]', '>=', '[]', '[]', None, '[]'], [(-0.18046580366360152, 0.3524658036636015), (0.9752841095309929, 1.0407158904690073), 201.8770274305525, (36.24176807883124, 39.75823192116876), (55.540863292194686, 60.459136707805314), None, (0.36862943734383213, 1.6313705626561679)])",0
"(['Global_active_power', 'Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3'], ['[]', '[]', None, '[]', '[]', '<=', None], [(3.7581615980825553, 4.0098384019174445), (-0.07748604051723662, 0.27748604051723663), None, (10.859249208103062, 21.540750791896937), (29.018959381102277, 46.98104061889772), 8.63867564102552, None])",4584
"(['Global_active_power', 'Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3'], ['<=', None, '>=', '>=', '<=', '[]', '[]'], [8.484679805729922, None, 161.67893154220462, 25.08224489552071, 11.455265842005733, (36.14535082141182, 39.85464917858818), (2.1206058704093103, 11.87939412959069)])",1
"(['Global_active_power', 'Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3'], [None, None, '[]', '[]', '<=', '[]', '[]'], [None, None, (231.39652354678023, 252.98347645321977), (1.7592771155996287, 2.6407228844003714), 13.816437392436875, (0.4065706542458851, 3.5934293457541147), (-0.2409502496631853, 0.2409502496631853)])",70235
"(['Global_active_power', 'Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3'], ['<=', '[]', '[]', '<=', '<=', '<=', '<='], [1.5528755455595349, (-0.02746519373325035, 0.02746519373325035), (232.63658633808853, 248.28341366191148), 3.4340927977378657, 1.021300912304477, 6.399578297502623, 3.538756870396111])",293537
"(['Global_active_power', 'Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3'], ['[]', '[]', None, '[]', '[]', '[]', '[]'], [(7.231960102038535, 7.456039897961464), (0.750989640744167, 1.329010359255833), None, (37.29227344807408, 41.50772655192592), (25.070274586701522, 38.92972541329848), (57.98846123838611, 60.01153876161389), (-0.14727825614169596, 0.14727825614169596)])",0
"(['Global_active_power', 'Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3'], [None, None, '>=', '<=', '<=', '<=', '[]'], [None, None, 198.2466505706229, 12.079034264043198, 29.43777228167171, 2.5813731425029265, (14.722020786192848, 21.27797921380715)])",532622
"(['Global_active_power', 'Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3'], ['[]', None, '>=', '<=', '<=', '<=', '<='], [(0.1605041591931516, 0.32349584080684834), None, 229.71443411526437, 6.261626799653567, 16.19335428505222, 2.1388643453636527, 1.9242199055612677])",499873
"(['Global_active_power', 'Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3'], [None, None, '[]', '[]', None, None, None], [None, None, (235.46175619619495, 246.77824380380505), (1.0187287226806705, 2.5812712773193294), None, None, None])",625969
"(['Global_active_power', 'Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3'], [None, None, None, None, '<=', None, None], [None, None, None, None, 7.867112623703586, None, None])",2012307
"(['Global_active_power', 'Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3'], [None, None, '[]', None, '<=', '<=', '[]'], [None, None, (241.3261555739836, 244.45384442601636), None, 4.864203123389396, 15.12819055277493, (-0.9208534547108933, 2.920853454710893)])",522519
"(['Global_active_power', 'Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3'], ['<=', None, None, None, None, None, None], [5.566942071615873, None, None, None, None, None, None])",2065586
"(['Global_active_power', 'Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3'], [None, '[]', None, '<=', None, '<=', '<='], [None, (-0.11661028112799254, 0.49261028112799254), None, 20.898210909239925, None, 25.15385357375648, 1.5049513029695003])",1300856
"(['Global_active_power', 'Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3'], ['<=', '<=', None, '<=', None, None, None], [4.833179046799823, 1.1242819580093173, None, 23.372738881928157, None, None, None])",2054386
"(['Global_active_power', 'Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3'], ['[]', '[]', '>=', '[]', '<=', '[]', '[]'], [(1.1410992126553299, 1.7069007873446704), (-0.04888344248342548, 0.04888344248342548), 226.48130428020175, (4.894228783793612, 6.705771216206387), 3.8782556451196277, (-0.43022975941262037, 0.43022975941262037), (17.051643747389054, 18.948356252610946)])",47758
"(['Global_active_power', 'Global_reactive_power', 'Voltage', 'Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3'], ['[]', None, None, None, None, None, '[]'], [(5.664604318946006, 5.759395681053995), None, None, None, None, None, (12.54694661934957, 15.45305338065043)])",1
